FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
114,,1919,Person,1919-114,718.7,linens,,20070517130622,19190923,digitised,JA70003000,,1824227,7187146.5706,12383.3801,,
118,,1919,Person,1919-118,71.7,linens,,20070517130624,19190715,assumed_shape,JA70003000,,1824228,717455.9864,3549.4426000000003,,
119,,1919,Person,1919-119,162.70000000000002,linens,,20070517130621,19191007,digitised,JA70003000,,1824229,1627569.4924,6136.542,,
12,,1919,Person,1919-12,52.7,linens,,20070517130611,19190619,digitised,JA70003000,,1824230,527401.5003,2768.0699,,
122,,1919,Person,1919-122,1336.5,linens,,20070517130622,19190830,digitised,JA70003000,,1824231,13365385.91,15084.4968,,
29a,,1917,Person,1917-29a,368.7,linens,,20070517130619,19170721,digitised,JA70003000,,1823966,3687044.3812,11885.5132,,
3,,1918,Person,1918-3,87.60000000000001,linens,,20070517130618,19180509,digitised,JA70003000,,1824207,876990.8126,4242.3611,,
367a,,1918,Person,1918-367a,69.2,linens,,20070517130624,19180628,assumed_shape,JA70003000,,1824208,692053.0258,3489.4806000000003,,
398,,1918,Person,1918-398,64.7,linens,,20070517130613,19180923,digitised,JA70003000,,1824209,647224.931,5795.888,,
1,,1919,Person,1919-1,41.800000000000004,linens,,20070517130616,19190426,digitised,JA70003000,,1824210,418278.4296,2904.871,,
1,,1919,Person,1919-1,177.6,linens,,20070517130618,19190605,digitised,JA70003000,,1824211,1776136.0076,9225.8502,,
10,,1919,Person,1919-10,100.5,linens,,20070517130619,19190522,digitised,JA70003000,,1824212,1005611.5434,4100.3285000000005,,
100,,1919,Person,1919-100,30.5,linens,,20070517130610,19190726,digitised,JA70003000,,1824213,305258.4195,2233.9435000000003,,
102,,1919,Lightning,1919-102,872.2,linens,,20070517130614,19190818,digitised,JA70003000,,1824214,8722849.8376,15326.2936,,
105,,1919,Person,1919-105,121.7,linens,,20070517130620,19190730,digitised,JA70003000,,1824215,1217534.1867,5034.5335000000005,,
106,,1919,Lightning,1919-106,760.3000000000001,linens,,20070517130623,19190731,assumed_shape,JA70003000,,1824216,7603030.4259,12007.9969,,
106a,,1919,Person,1919-106a,1499.4,linens,,20070517130616,19190827,digitised,JA70003000,,1824217,14994051.8996,18638.135000000002,,
107,,1919,Lightning,1919-107,597.8000000000001,linens,,20070517130622,19190816,digitised,JA70003000,,1824218,5978017.4502,11378.2063,,
109,,1919,Lightning,1919-109,55.6,linens,,20070517130625,19190908,assumed_shape,JA70003000,,1824219,556818.5386,2712.1349,,
11,,1919,Person,1919-11,67.6,linens,,20070517130616,19190617,digitised,JA70003000,,1824220,676084.7833,3021.7439,,
110,,1919,Person,1919-110,659.4,linens,,20070517130621,19190818,digitised,JA70003000,,1824221,6594343.9188,12552.2741,,
110a,,1919,Lightning,1919-110a,3787.2000000000003,linens,,20070517130623,19190720,digitised,JA70003000,,1824222,37872666.0434,25660.314,,
111,,1919,Person,1919-111,87.8,linens,,20070517130624,19190726,assumed_shape,JA70003000,,1824223,878458.5986,4407.0809,,
112,,1919,Person,1919-112,149,linens,,20070517130624,19190717,assumed_shape,JA70003000,,1824224,1490265.2083,5078.2245,,
113,,1919,Person,1919-113,116.4,linens,,20070517130621,19190720,digitised,JA70003000,,1824225,1164519.8902,4329.6686,,
114,,1919,Lightning,1919-114,214.9,linens,,20070517130621,19190716,digitised,JA70003000,,1824226,2149865.1069,5694.7288,,
160,,1919,Person,1919-160,638.7,linens,,20070517130620,19190814,digitised,JA70003000,,1824249,6387043.1976,10479.7841,,
161a,,1919,Lightning,1919-161a,18.400000000000002,linens,,20070517130610,19190801,digitised,JA70003000,,1824250,184626.1732,1720.8405,,
169,,1919,Lightning,1919-169,1336.4,linens,,20070517130619,19190817,digitised,JA70003000,,1824251,13364561.6175,18181.228600000002,,
181,,1919,Person,1919-181,76.3,linens,,20070517130613,19190713,digitised,JA70003000,,1824252,763702.9305,4318.7796,,
188,,1919,Person,1919-188,44.7,linens,,20070517130622,19190929,assumed_shape,JA70003000,,1824253,447715.8878,2443.9708,,
254a,,1919,Person,1919-254a,21.900000000000002,linens,,20070517130613,19190728,digitised,JA70003000,,1824273,219173.4518,1817.1527,,
25c,,1919,Person,1919-25c,131.7,linens,,20070517130617,19190525,digitised,JA70003000,,1824274,1317072.1771,4430.6338000000005,,
268,,1919,Person,1919-268,10.4,linens,,20070517130613,19190823,digitised,JA70003000,,1824275,104252.98819999999,1240.4514000000001,,
27,,1919,Person,1919-27,716.1,linens,,20070517130616,19190606,digitised,JA70003000,,1824276,7161460.2567,11619.4899,,
27,,1919,Person,1919-27,173.20000000000002,linens,,20070517130616,19190606,digitised,JA70003000,,1824277,1732821.0039,7310.4197,,
27,,1919,Person,1919-27,610.5,linens,,20070517130649,19190721,assumed_shape,JA70003000,,1824278,6105724.9638,13443.9693,,
19,,1919,Person,1919-19,81.8,linens,,20070517130612,19190521,digitised,JA70003000,,1824254,818921.7235,4072.4735,,
19,,1919,Person,1919-19,122.4,linens,,20070517130616,19190522,digitised,JA70003000,,1824255,1224776.6995,5693.3651,,
192,,1919,Person,1919-192,125.5,linens,,20070517130613,19190709,digitised,JA70003000,,1824256,1255855.765,4339.017400000001,,
192,,1919,Person,1919-192,155.1,linens,,20070517130625,19190709,assumed_shape,JA70003000,,1824257,1551920.7363,6757.0960000000005,,
194,,1919,Person,1919-194,131.8,linens,,20070517130625,19190711,assumed_shape,JA70003000,,1824258,1318459.7023,4932.8602,,
197,,1919,Person,1919-197,57.4,linens,,20070517130623,19190727,assumed_shape,JA70003000,,1824259,574961.2519,3059.404,,
2,,1919,Person,1919-2,64.9,linens,,20070517130625,19190607,assumed_shape,JA70003000,,1824260,649573.0473,5134.5643,,
20,,1919,Person,1919-20,99.4,linens,,20070517130616,19190528,digitised,JA70003000,,1824261,994508.2997,3670.4636,,
20,,1919,Person,1919-20,151.4,linens,,20070517130622,19190621,digitised,JA70003000,,1824262,1514709.2783,5258.1447,,
201,,1919,Person,1919-201,326.1,linens,,20070517130623,19190727,assumed_shape,JA70003000,,1824263,3261631.0452,7342.751,,
